,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
$E(V_{ch}(n))$,0.53,1.33,2.25,3.22,4.21,5.19,6.15,7.10,8.02,8.91,9.78,10.62,11.44,12.24,13.01,13.77,14.50,15.21,15.91,16.58,17.25,17.89,18.52,19.14,19.74,20.33,20.90,21.47,22.02,22.56,23.09,23.62,24.13,24.63,25.12,25.61,26.08,26.55,27.01,27.47,27.91,28.35,28.78,29.21,29.63,30.04,30.45,30.85,31.25,31.64,32.02,32.40,32.78,33.15,33.51,33.87,34.23,34.58,34.93,35.28,35.62,35.95,36.28,36.61,36.94,37.26,37.58,37.89,38.20,38.51,38.81,39.12,39.42,39.71,40.00,40.29,40.58,40.87,41.15,41.43,41.70,41.98,42.25,42.52,42.78,43.05,43.31,43.57,43.83,44.08,44.34,44.59,44.84,45.09,45.33,45.58,45.82,46.06,46.29,46.53,46.76,47.00,47.23,47.46,47.68,47.91,48.13,48.36,48.58,48.80,49.01,49.23,49.45,49.66,49.87,50.08,50.29,50.50,50.70,50.91,51.11,51.31,51.52,51.72,51.91,52.11,52.31,52.50,52.70,52.89,53.08,53.27,53.46,53.65,53.83,54.02,54.21,54.39,54.57,54.75,54.93,55.11,55.29,55.47,55.65,55.82,56.00,56.17,56.34,56.51,56.69,56.86,57.02,57.19,56.08,57.53,57.69,57.86,58.02,58.19,58.35,58.51,58.67,58.83,58.99,59.15,59.31,59.46,59.62,59.77,59.93,60.08,60.24,60.39,60.54,60.69,60.84,60.99,61.14,61.29,61.44,61.59,61.73,61.88,62.02,62.17,62.31,62.45,62.60,62.74,62.88,63.02,63.16,63.30,63.44,63.58,63.72
$Mean(V_{ch}(n))$,0.53,1.33,2.25,3.22,4.21,5.18,6.16,7.10,8.02,8.91,9.78,10.62,11.44,12.24,13.02,13.77,14.50,15.20,15.89,16.58,17.25,17.89,18.52,19.14,19.74,20.33,20.91,21.46,22.02,22.56,23.10,23.61,24.12,24.63,25.12,25.61,26.08,26.54,27.01,27.47,27.91,28.35,28.79,29.21,29.62,30.03,30.45,30.85,31.24,31.63,32.03,32.41,32.78,33.14,33.50,33.87,34.23,34.59,34.94,35.26,35.61,35.96,36.29,36.61,36.93,37.26,37.56,37.90,38.20,38.53,38.82,39.11,39.42,39.72,40.00,40.30,40.59,40.87,41.16,41.43,41.70,41.97,42.25,42.51,42.77,43.05,43.31,43.58,43.83,44.09,44.34,44.59,44.83,45.11,45.34,45.58,45.82,46.05,46.29,46.52,46.76,47.00,47.22,47.46,47.69,47.90,48.13,48.36,48.57,48.79,49.01,49.23,49.45,49.65,49.86,50.07,50.29,50.51,50.69,50.90,51.11,51.31,51.52,51.72,51.91,52.12,52.31,52.50,52.70,52.89,53.09,53.26,53.48,53.63,53.83,54.01,54.21,54.37,54.58,54.76,54.93,55.12,55.29,55.45,55.64,55.82,56.00,56.17,56.35,56.51,56.69,56.86,57.03,57.19,57.36,57.53,57.70,57.87,58.04,58.18,58.34,58.51,58.68,58.84,58.99,59.15,59.31,59.47,59.62,59.76,59.93,60.08,60.24,60.38,60.56,60.70,60.85,61.00,61.15,61.28,61.44,61.58,61.74,61.87,62.02,62.15,62.32,62.46,62.60,62.73,62.87,63.03,63.16,63.30,63.45,63.58,63.71
$std_{pos}(n)$,0.94,1.55,2.07,2.52,2.90,3.21,3.51,3.75,3.98,4.18,4.36,4.51,4.66,4.81,4.95,5.06,5.17,5.26,5.36,5.47,5.55,5.60,5.71,5.77,5.83,5.91,5.97,6.02,6.09,6.14,6.19,6.24,6.28,6.34,6.38,6.43,6.46,6.50,6.53,6.57,6.60,6.65,6.68,6.71,6.75,6.78,6.81,6.83,6.86,6.88,6.93,6.93,6.96,6.98,7.01,7.03,7.05,7.08,7.10,7.13,7.16,7.17,7.19,7.22,7.23,7.25,7.27,7.30,7.31,7.32,7.31,7.36,7.38,7.37,7.40,7.42,7.43,7.43,7.48,7.48,7.48,7.50,7.53,7.52,7.54,7.56,7.58,7.58,7.60,7.60,7.64,7.64,7.64,7.67,7.66,7.69,7.68,7.69,7.72,7.73,7.74,7.74,7.75,7.75,7.79,7.78,7.78,7.81,7.81,7.81,7.82,7.83,7.83,7.86,7.87,7.88,7.87,7.90,7.90,7.90,7.92,7.92,7.92,7.94,7.95,7.95,7.98,7.97,7.97,7.98,7.98,8.02,8.00,8.01,8.01,8.02,8.05,8.04,8.06,8.07,8.07,8.07,8.07,8.07,8.08,8.10,8.10,8.13,8.12,8.12,8.13,8.13,8.14,8.15,8.14,8.15,8.15,8.18,8.17,8.18,8.19,8.17,8.20,8.20,8.21,8.23,8.21,8.23,8.23,8.23,8.25,8.23,8.24,8.24,8.28,8.27,8.25,8.28,8.28,8.29,8.30,8.29,8.29,8.30,8.30,8.31,8.32,8.32,8.33,8.32,8.33,8.34,8.34,8.35,8.35,8.34,8.37
$std_{neg}(n)$,0.36,0.74,1.11,1.45,1.76,2.02,2.28,2.50,2.71,2.88,3.06,3.21,3.35,3.49,3.61,3.73,3.84,3.94,4.03,4.13,4.21,4.29,4.36,4.44,4.51,4.58,4.64,4.70,4.75,4.82,4.87,4.92,4.96,5.02,5.06,5.10,5.14,5.18,5.22,5.26,5.30,5.34,5.37,5.41,5.44,5.47,5.51,5.53,5.56,5.59,5.61,5.63,5.67,5.69,5.74,5.75,5.77,5.80,5.82,5.84,5.86,5.88,5.91,5.92,5.95,5.96,5.99,6.01,6.03,6.04,6.06,6.07,6.10,6.11,6.13,6.14,6.16,6.18,6.19,6.21,6.22,6.24,6.25,6.27,6.28,6.29,6.31,6.32,6.33,6.36,6.36,6.37,6.38,6.40,6.41,6.42,6.43,6.44,6.45,6.47,6.48,6.48,6.50,6.51,6.53,6.52,6.53,6.54,6.55,6.57,6.58,6.59,6.60,6.62,6.61,6.63,6.63,6.66,6.65,6.67,6.68,6.67,6.69,6.70,6.71,6.71,6.74,6.73,6.74,6.74,6.75,6.75,6.78,6.78,6.77,6.79,6.79,6.80,6.81,6.82,6.83,6.84,6.84,6.85,6.85,6.86,6.87,6.88,6.88,6.88,6.89,6.90,6.90,6.91,6.91,6.93,6.92,6.93,6.95,6.94,6.95,6.95,6.96,6.98,6.98,6.98,6.99,6.99,7.00,7.00,7.01,7.02,7.02,7.02,7.03,7.03,7.04,7.05,7.05,7.06,7.06,7.07,7.08,7.08,7.08,7.09,7.09,7.09,7.10,7.11,7.11,7.11,7.12,7.13,7.11,7.13,7.13
$quant_{0.995}(n)$,3.49,6.17,8.60,10.86,12.90,14.74,16.60,18.10,19.68,21.14,22.46,23.69,24.93,26.16,27.21,28.25,29.33,30.25,31.21,32.19,32.99,33.83,34.73,35.46,36.33,37.05,37.86,38.44,39.16,39.97,40.55,41.24,41.79,42.41,43.06,43.68,44.23,44.77,45.31,45.92,46.38,46.93,47.47,48.00,48.53,48.99,49.47,49.88,50.43,50.81,51.35,51.80,52.14,52.58,53.05,53.47,53.86,54.23,54.79,55.17,55.51,55.84,56.26,56.73,57.04,57.38,57.89,58.16,58.54,58.85,59.18,59.49,59.82,60.21,60.56,60.90,61.24,61.51,61.90,62.25,62.44,62.81,63.18,63.34,63.65,64.01,64.27,64.54,64.85,65.12,65.44,65.85,65.97,66.33,66.58,66.86,67.07,67.31,67.65,67.83,68.12,68.40,68.68,68.89,69.25,69.43,69.68,69.86,70.15,70.39,70.74,70.88,71.06,71.29,71.65,71.89,71.96,72.30,72.43,72.79,73.00,73.14,73.36,73.64,73.88,74.07,74.36,74.42,74.66,74.87,75.11,75.34,75.55,75.62,75.98,76.16,76.47,76.62,76.82,76.98,77.21,77.38,77.55,77.68,77.91,78.18,78.29,78.56,78.78,78.90,79.02,79.26,79.45,79.72,79.75,79.99,80.11,80.40,80.59,80.74,80.88,80.96,81.20,81.44,81.59,81.84,81.90,82.12,82.27,82.40,82.63,82.76,82.86,83.07,83.29,83.38,83.54,83.73,84.00,84.15,84.23,84.37,84.53,84.78,84.83,85.01,85.12,85.36,85.51,85.54,85.83,86.01,86.05,86.33,86.35,86.53,86.68
$quant_{0.005}(n)$,0.00,0.05,0.19,0.42,0.71,1.05,1.42,1.83,2.24,2.70,3.13,3.61,4.07,4.53,4.98,5.42,5.90,6.34,6.78,7.25,7.68,8.13,8.57,9.00,9.43,9.83,10.21,10.65,11.05,11.46,11.84,12.23,12.58,12.99,13.36,13.75,14.12,14.45,14.79,15.19,15.52,15.83,16.19,16.52,16.89,17.17,17.52,17.79,18.17,18.49,18.81,19.15,19.39,19.72,19.97,20.30,20.61,20.89,21.20,21.46,21.75,22.04,22.28,22.55,22.85,23.13,23.39,23.64,23.91,24.18,24.44,24.68,24.92,25.17,25.45,25.70,25.93,26.15,26.41,26.68,26.89,27.12,27.40,27.56,27.83,28.11,28.28,28.52,28.71,28.91,29.18,29.41,29.59,29.84,30.04,30.25,30.47,30.71,30.86,31.06,31.23,31.46,31.69,31.90,32.06,32.30,32.51,32.68,32.87,33.01,33.21,33.42,33.61,33.77,34.00,34.15,34.36,34.55,34.77,34.93,35.09,35.30,35.46,35.69,35.82,36.00,36.17,36.32,36.50,36.68,36.87,37.03,37.21,37.36,37.51,37.77,37.88,38.04,38.24,38.36,38.53,38.70,38.85,38.98,39.14,39.29,39.47,39.60,39.85,39.94,40.09,40.21,40.42,40.56,40.75,40.85,41.03,41.18,41.25,41.44,41.61,41.77,41.89,41.99,42.17,42.37,42.46,42.62,42.78,42.87,42.99,43.15,43.32,43.42,43.58,43.77,43.84,44.00,44.14,44.24,44.39,44.52,44.67,44.78,44.90,45.03,45.24,45.31,45.50,45.55,45.73,45.87,45.94,46.11,46.26,46.36,46.48
