,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
$E(A_{ch}(n))$,0.87,1.73,2.51,3.21,3.83,4.40,4.91,5.38,5.81,6.21,6.59,6.94,7.27,7.58,7.88,8.16,8.43,8.68,8.92,9.16,9.38,9.60,9.80,10.00,10.20,10.38,10.57,10.74,10.91,11.07,11.23,11.39,11.54,11.69,11.83,11.97,12.11,12.24,12.37,12.50,12.62,12.75,12.87,12.98,13.10,13.21,13.32,13.43,13.53,13.64,13.74,13.84,13.94,14.03,14.13,14.22,14.32,14.41,14.50,14.58,14.67,14.75,14.84,14.92,15.00,15.08,15.16,15.24,15.32,15.39,15.47,15.54,15.62,15.69,15.76,15.83,15.90,15.97,16.04,16.10,16.17,16.23,16.30,16.36,16.43,16.49,16.55,16.61,16.67,16.73,16.79,16.85,16.91,16.97,17.02,17.08,17.14,17.19,17.25,17.30,17.36,17.41,17.46,17.51,17.57,17.62,17.67,17.72,17.77,17.82,17.87,17.92,17.96,18.01,18.06,18.11,18.15,18.20,18.25,18.29,18.34,18.38,18.43,18.47,18.51,18.56,18.60,18.64,18.69,18.73,18.77,18.81,18.85,18.90,18.94,18.98,19.02,19.06,19.10,19.14,19.17,19.21,19.25,19.29,19.33,19.37,19.40,19.44,19.48,19.52,19.55,19.59,19.62,19.66,19.70,19.73,19.77,19.80,19.84,19.87,19.91,19.94,19.97,20.01,20.04,20.07,20.11,20.14,20.17,20.21,20.24,20.27,20.30,20.34,20.37,20.40,20.43,20.46,20.49,20.52,20.55,20.58,20.62,20.65,20.68,20.71,20.74,20.76,20.79,20.82,20.85,20.88,20.91,20.94,20.97,21.00,21.03,21.05
$Mean(A_{ch}(n))$,0.87,1.73,2.51,3.21,3.83,4.39,4.91,5.38,5.82,6.21,6.59,6.93,7.27,7.57,7.87,8.17,8.43,8.68,8.93,9.15,9.37,9.59,9.80,10.02,10.21,10.39,10.58,10.74,10.92,11.08,11.24,11.38,11.53,11.69,11.83,11.96,12.11,12.24,12.38,12.49,12.62,12.75,12.87,12.98,13.09,13.20,13.32,13.42,13.53,13.64,13.75,13.83,13.93,14.03,14.14,14.22,14.32,14.40,14.50,14.58,14.66,14.75,14.84,14.93,15.00,15.10,15.16,15.24,15.32,15.39,15.48,15.53,15.62,15.69,15.76,15.82,15.90,15.97,16.04,16.10,16.17,16.24,16.30,16.36,16.43,16.49,16.56,16.62,16.66,16.72,16.79,16.84,16.90,16.98,17.04,17.08,17.12,17.18,17.25,17.30,17.37,17.41,17.45,17.50,17.56,17.62,17.65,17.72,17.77,17.82,17.86,17.91,17.98,18.01,18.06,18.10,18.15,18.20,18.26,18.29,18.32,18.39,18.42,18.48,18.52,18.55,18.60,18.65,18.69,18.73,18.79,18.82,18.86,18.90,18.94,18.98,19.01,19.06,19.10,19.14,19.17,19.22,19.26,19.29,19.32,19.38,19.42,19.43,19.47,19.52,19.55,19.59,19.62,19.66,19.70,19.73,19.77,19.79,19.84,19.88,19.90,19.95,19.97,20.01,20.03,20.07,20.11,20.13,20.17,20.20,20.24,20.27,20.30,20.35,20.37,20.40,20.43,20.48,20.50,20.53,20.56,20.59,20.61,20.65,20.67,20.70,20.72,20.77,20.79,20.82,20.87,20.88,20.91,20.93,20.95,21.00,21.03,21.06
$std_{pos}(n)$,1.23,1.59,1.82,1.98,2.07,2.16,2.23,2.30,2.32,2.35,2.39,2.40,2.42,2.44,2.46,2.47,2.48,2.50,2.50,2.51,2.51,2.52,2.52,2.56,2.56,2.56,2.55,2.55,2.57,2.59,2.56,2.59,2.57,2.60,2.58,2.57,2.58,2.58,2.59,2.60,2.58,2.59,2.60,2.59,2.60,2.59,2.60,2.59,2.61,2.61,2.61,2.59,2.60,2.60,2.62,2.60,2.61,2.60,2.63,2.61,2.61,2.61,2.62,2.62,2.61,2.62,2.60,2.62,2.63,2.62,2.62,2.61,2.60,2.62,2.62,2.62,2.61,2.62,2.62,2.61,2.62,2.64,2.62,2.61,2.62,2.60,2.62,2.62,2.62,2.62,2.61,2.61,2.63,2.62,2.61,2.62,2.61,2.62,2.62,2.61,2.62,2.63,2.61,2.61,2.62,2.61,2.62,2.61,2.61,2.62,2.63,2.61,2.61,2.63,2.60,2.62,2.61,2.62,2.63,2.63,2.63,2.62,2.62,2.62,2.63,2.62,2.62,2.59,2.61,2.61,2.63,2.60,2.61,2.62,2.61,2.62,2.62,2.63,2.61,2.61,2.61,2.63,2.61,2.62,2.60,2.62,2.63,2.61,2.62,2.60,2.63,2.63,2.63,2.62,2.60,2.62,2.61,2.61,2.61,2.60,2.61,2.62,2.60,2.60,2.62,2.62,2.60,2.61,2.61,2.62,2.61,2.61,2.61,2.62,2.60,2.59,2.62,2.59,2.61,2.62,2.63,2.60,2.61,2.59,2.61,2.60,2.59,2.61,2.60,2.60,2.61,2.63,2.60,2.60,2.61,2.60,2.60,2.60
$std_{neg}(n)$,0.56,0.91,1.14,1.31,1.43,1.53,1.61,1.68,1.74,1.78,1.82,1.85,1.88,1.89,1.92,1.94,1.96,1.97,2.00,2.00,2.01,2.02,2.04,2.05,2.06,2.06,2.07,2.08,2.09,2.09,2.09,2.09,2.11,2.10,2.11,2.11,2.13,2.12,2.13,2.14,2.13,2.13,2.14,2.15,2.14,2.13,2.15,2.14,2.16,2.15,2.17,2.15,2.15,2.15,2.16,2.17,2.17,2.15,2.17,2.17,2.17,2.17,2.18,2.17,2.17,2.19,2.18,2.18,2.18,2.18,2.19,2.18,2.18,2.18,2.18,2.19,2.18,2.18,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.20,2.20,2.19,2.20,2.20,2.19,2.19,2.19,2.20,2.19,2.19,2.18,2.20,2.20,2.19,2.21,2.20,2.20,2.19,2.19,2.19,2.19,2.20,2.20,2.19,2.20,2.20,2.21,2.20,2.19,2.20,2.19,2.20,2.21,2.20,2.19,2.19,2.20,2.21,2.22,2.21,2.20,2.20,2.19,2.19,2.20,2.20,2.20,2.22,2.21,2.21,2.21,2.20,2.20,2.20,2.19,2.22,2.20,2.21,2.20,2.21,2.20,2.19,2.20,2.20,2.21,2.21,2.20,2.20,2.21,2.21,2.20,2.21,2.20,2.20,2.20,2.21,2.21,2.21,2.21,2.20,2.20,2.20,2.21,2.20,2.20,2.21,2.20,2.22,2.20,2.20,2.20,2.20,2.20,2.21,2.21,2.19,2.21,2.21,2.20,2.21,2.19,2.20,2.21,2.20,2.20,2.20,2.21,2.20,2.20,2.21,2.20,2.20
$quant_{0.995}(n)$,4.58,6.50,7.88,8.94,9.81,10.59,11.30,11.88,12.33,12.91,13.40,13.66,14.11,14.43,14.87,15.09,15.43,15.67,16.02,16.24,16.43,16.61,16.86,17.15,17.25,17.52,17.65,17.88,18.15,18.31,18.35,18.65,18.72,18.99,19.08,19.12,19.24,19.34,19.53,19.74,19.79,19.94,20.03,20.20,20.31,20.37,20.52,20.64,20.83,20.90,21.01,21.07,21.21,21.23,21.42,21.37,21.50,21.58,21.72,21.91,21.95,21.96,22.07,22.11,22.27,22.29,22.44,22.48,22.59,22.59,22.79,22.78,22.88,22.99,23.09,23.07,23.20,23.13,23.25,23.32,23.40,23.50,23.44,23.61,23.71,23.71,23.85,23.80,23.96,23.96,24.00,24.06,24.19,24.23,24.30,24.39,24.31,24.55,24.43,24.52,24.65,24.71,24.64,24.73,24.85,24.80,24.92,24.90,25.01,25.06,25.16,25.10,25.15,25.33,25.25,25.35,25.37,25.44,25.52,25.54,25.65,25.66,25.71,25.65,25.76,25.84,25.89,25.87,25.95,25.91,26.08,25.96,26.09,26.20,26.22,26.16,26.27,26.34,26.31,26.31,26.39,26.50,26.53,26.57,26.50,26.52,26.72,26.62,26.69,26.71,26.79,26.81,26.96,26.95,26.91,27.01,26.99,27.07,27.15,27.02,27.17,27.16,27.06,27.18,27.26,27.31,27.33,27.36,27.40,27.47,27.43,27.46,27.49,27.59,27.54,27.51,27.70,27.64,27.65,27.77,27.89,27.84,27.90,27.77,27.95,27.94,27.90,27.93,27.96,27.96,28.07,28.22,28.08,28.12,28.18,28.20,28.14,28.30
$quant_{0.005}(n)$,0.00,0.09,0.28,0.54,0.81,1.10,1.40,1.70,1.96,2.26,2.46,2.74,2.97,3.24,3.47,3.73,3.92,4.11,4.32,4.54,4.71,4.89,5.08,5.24,5.38,5.53,5.69,5.90,6.02,6.16,6.31,6.48,6.54,6.73,6.87,7.00,7.12,7.25,7.35,7.43,7.57,7.69,7.79,7.88,8.00,8.11,8.21,8.30,8.41,8.52,8.58,8.69,8.80,8.89,8.95,9.10,9.17,9.27,9.37,9.41,9.51,9.55,9.62,9.80,9.84,9.84,9.94,10.01,10.11,10.18,10.21,10.33,10.39,10.42,10.54,10.59,10.67,10.75,10.79,10.89,10.91,11.00,11.02,11.10,11.19,11.21,11.31,11.37,11.39,11.46,11.58,11.61,11.65,11.73,11.80,11.82,11.90,11.92,11.99,12.00,12.10,12.14,12.21,12.22,12.35,12.36,12.39,12.41,12.49,12.52,12.57,12.63,12.69,12.77,12.77,12.86,12.86,12.97,12.95,12.99,13.02,13.12,13.12,13.20,13.19,13.23,13.33,13.34,13.39,13.44,13.48,13.55,13.60,13.59,13.66,13.64,13.66,13.81,13.78,13.87,13.94,13.93,13.99,13.96,14.04,14.08,14.14,14.17,14.21,14.25,14.22,14.29,14.34,14.35,14.42,14.40,14.46,14.43,14.56,14.56,14.60,14.63,14.71,14.71,14.70,14.78,14.81,14.84,14.85,14.87,14.96,14.96,15.01,15.01,15.10,15.12,15.11,15.18,15.15,15.23,15.21,15.31,15.27,15.33,15.38,15.42,15.43,15.51,15.45,15.53,15.59,15.60,15.61,15.63,15.65,15.70,15.76,15.74
