,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
$E(SA_{ch}(n))$,6.93,10.05,12.84,15.33,17.59,19.64,21.51,23.25,24.86,26.36,27.76,29.08,30.33,31.51,32.64,33.70,34.72,35.70,36.63,37.53,38.39,39.22,40.02,40.79,41.54,42.26,42.96,43.64,44.30,44.94,45.56,46.17,46.76,47.33,47.89,48.44,48.97,49.49,50.00,50.50,50.99,51.46,51.93,52.39,52.84,53.28,53.71,54.13,54.55,54.96,55.36,55.75,56.14,56.52,56.89,57.26,57.62,57.98,58.33,58.68,59.02,59.35,59.69,60.01,60.33,60.65,60.96,61.27,61.57,61.87,62.17,62.46,62.75,63.04,63.32,63.60,63.87,64.14,64.41,64.68,64.94,65.20,65.45,65.71,65.96,66.21,66.45,66.69,66.93,67.17,67.41,67.64,67.87,68.10,68.32,68.55,68.77,68.99,69.21,69.42,69.63,69.84,70.05,70.26,70.47,70.67,70.87,71.07,71.27,71.47,71.66,71.86,72.05,72.24,72.43,72.61,72.80,72.98,73.17,73.35,73.53,73.71,73.88,74.06,74.23,74.40,74.58,74.75,74.92,75.08,75.25,75.42,75.58,75.74,75.91,76.07,76.23,76.38,76.54,76.70,76.85,77.01,77.16,77.31,77.46,77.62,77.76,77.91,78.06,78.21,78.35,78.50,78.64,78.78,78.93,79.07,79.21,79.35,79.48,79.62,79.76,79.90,80.03,80.17,80.30,80.43,80.56,80.70,80.83,80.96,81.09,81.21,81.34,81.47,81.60,81.72,81.85,81.97,82.09,82.22,82.34,82.46,82.58,82.70,82.82,82.94,83.06,83.18,83.30,83.41,83.53,83.64,83.76,83.87,83.99,84.10,84.21
$Mean(SA_{ch}(n))$,6.92,10.06,12.83,15.33,17.59,19.62,21.52,23.25,24.87,26.35,27.76,29.08,30.34,31.52,32.64,33.70,34.73,35.69,36.61,37.52,38.39,39.22,40.02,40.80,41.55,42.26,42.96,43.63,44.29,44.93,45.56,46.16,46.75,47.34,47.89,48.44,48.97,49.48,50.00,50.50,50.98,51.46,51.94,52.40,52.83,53.27,53.71,54.14,54.54,54.95,55.37,55.75,56.14,56.51,56.88,57.25,57.62,57.99,58.34,58.67,59.02,59.36,59.69,60.01,60.33,60.65,60.94,61.28,61.57,61.89,62.17,62.45,62.75,63.04,63.32,63.60,63.88,64.14,64.42,64.68,64.93,65.19,65.46,65.70,65.95,66.20,66.45,66.70,66.94,67.17,67.41,67.64,67.86,68.12,68.33,68.55,68.78,68.99,69.20,69.41,69.63,69.84,70.05,70.27,70.47,70.66,70.87,71.08,71.26,71.46,71.66,71.85,72.06,72.22,72.42,72.60,72.80,73.00,73.16,73.34,73.52,73.70,73.89,74.06,74.23,74.41,74.58,74.74,74.92,75.08,75.26,75.40,75.60,75.73,75.90,76.06,76.23,76.37,76.55,76.70,76.85,77.01,77.16,77.30,77.46,77.61,77.77,77.91,78.06,78.20,78.35,78.51,78.64,78.78,78.92,79.07,79.22,79.36,79.50,79.62,79.75,79.90,80.04,80.17,80.30,80.44,80.56,80.70,80.83,80.95,81.08,81.21,81.34,81.46,81.61,81.73,81.85,81.97,82.10,82.21,82.34,82.46,82.59,82.69,82.82,82.93,83.07,83.18,83.30,83.41,83.52,83.65,83.76,83.87,84.00,84.10,84.21
$std_{pos}(n)$,4.51,5.35,5.87,6.26,6.54,6.74,6.93,7.04,7.17,7.26,7.34,7.38,7.43,7.49,7.54,7.56,7.60,7.62,7.64,7.68,7.70,7.69,7.73,7.73,7.73,7.76,7.77,7.76,7.78,7.78,7.79,7.80,7.79,7.81,7.80,7.81,7.80,7.81,7.80,7.81,7.81,7.81,7.82,7.81,7.82,7.82,7.82,7.81,7.81,7.81,7.83,7.80,7.80,7.80,7.81,7.80,7.80,7.80,7.80,7.81,7.81,7.80,7.80,7.80,7.80,7.79,7.81,7.81,7.80,7.79,7.77,7.79,7.79,7.77,7.78,7.78,7.77,7.76,7.79,7.78,7.76,7.77,7.78,7.75,7.76,7.76,7.77,7.75,7.75,7.75,7.77,7.76,7.74,7.75,7.74,7.74,7.74,7.72,7.74,7.74,7.73,7.73,7.73,7.71,7.74,7.71,7.70,7.72,7.71,7.70,7.70,7.70,7.69,7.70,7.70,7.71,7.69,7.70,7.69,7.68,7.69,7.68,7.68,7.68,7.69,7.68,7.70,7.67,7.67,7.67,7.66,7.68,7.66,7.66,7.66,7.65,7.67,7.66,7.67,7.67,7.66,7.65,7.65,7.64,7.64,7.65,7.64,7.66,7.64,7.64,7.64,7.64,7.64,7.64,7.62,7.62,7.62,7.63,7.62,7.62,7.62,7.60,7.61,7.62,7.62,7.63,7.61,7.62,7.60,7.61,7.62,7.60,7.60,7.59,7.61,7.60,7.58,7.60,7.60,7.60,7.60,7.58,7.58,7.59,7.58,7.59,7.59,7.57,7.58,7.58,7.58,7.57,7.57,7.58,7.56,7.56,7.57
$std_{neg}(n)$,2.92,3.69,4.24,4.66,4.99,5.23,5.45,5.63,5.77,5.88,5.99,6.06,6.14,6.21,6.27,6.33,6.37,6.41,6.44,6.49,6.51,6.53,6.55,6.58,6.60,6.63,6.64,6.65,6.66,6.68,6.70,6.71,6.71,6.72,6.73,6.74,6.74,6.75,6.75,6.76,6.76,6.77,6.77,6.79,6.78,6.79,6.80,6.80,6.80,6.81,6.80,6.79,6.80,6.80,6.83,6.82,6.81,6.82,6.82,6.82,6.82,6.82,6.83,6.82,6.82,6.82,6.82,6.83,6.82,6.82,6.82,6.82,6.83,6.82,6.83,6.81,6.82,6.83,6.82,6.82,6.82,6.82,6.82,6.82,6.82,6.81,6.82,6.82,6.82,6.83,6.81,6.81,6.81,6.82,6.82,6.81,6.81,6.80,6.81,6.81,6.80,6.79,6.81,6.80,6.81,6.80,6.79,6.79,6.79,6.80,6.79,6.79,6.79,6.80,6.79,6.79,6.79,6.80,6.78,6.79,6.80,6.78,6.79,6.78,6.78,6.77,6.79,6.77,6.78,6.77,6.78,6.77,6.78,6.77,6.76,6.76,6.76,6.76,6.76,6.76,6.76,6.76,6.76,6.76,6.75,6.76,6.76,6.76,6.75,6.75,6.75,6.75,6.75,6.75,6.74,6.75,6.74,6.74,6.75,6.74,6.74,6.73,6.74,6.74,6.74,6.73,6.73,6.73,6.73,6.73,6.73,6.73,6.73,6.72,6.72,6.71,6.72,6.73,6.71,6.72,6.72,6.71,6.72,6.72,6.71,6.72,6.71,6.71,6.71,6.71,6.71,6.70,6.71,6.71,6.69,6.70,6.70
$quant_{0.995}(n)$,20.12,25.53,29.62,33.13,36.10,38.58,40.94,42.91,44.77,46.54,48.07,49.50,50.88,52.22,53.40,54.54,55.68,56.60,57.67,58.60,59.48,60.23,61.23,61.94,62.79,63.46,64.27,64.85,65.53,66.22,66.81,67.54,68.03,68.65,69.17,69.78,70.27,70.83,71.30,71.84,72.27,72.73,73.23,73.71,74.17,74.58,74.99,75.32,75.88,76.23,76.68,77.03,77.36,77.72,78.11,78.49,78.81,79.14,79.59,79.98,80.25,80.50,80.94,81.29,81.55,81.81,82.27,82.50,82.79,83.09,83.30,83.61,83.84,84.18,84.48,84.77,85.01,85.29,85.54,85.85,86.01,86.30,86.62,86.75,87.02,87.30,87.54,87.73,87.97,88.17,88.43,88.79,88.89,89.15,89.37,89.62,89.81,89.94,90.19,90.40,90.59,90.81,91.03,91.20,91.51,91.56,91.80,91.99,92.21,92.36,92.67,92.78,92.91,93.10,93.36,93.57,93.62,93.93,93.98,94.26,94.44,94.53,94.66,94.93,95.14,95.22,95.52,95.53,95.71,95.89,96.06,96.24,96.40,96.45,96.67,96.85,97.07,97.18,97.36,97.50,97.64,97.80,97.89,98.04,98.18,98.43,98.49,98.64,98.84,98.94,99.01,99.20,99.37,99.54,99.62,99.76,99.82,100.04,100.18,100.31,100.43,100.50,100.67,100.86,100.92,101.16,101.16,101.40,101.45,101.62,101.77,101.87,101.88,102.05,102.27,102.29,102.38,102.54,102.75,102.85,102.93,103.06,103.14,103.31,103.36,103.51,103.60,103.72,103.85,103.89,104.07,104.21,104.27,104.41,104.48,104.60,104.69
$quant_{0.005}(n)$,1.04,2.25,3.59,5.00,6.37,7.75,9.06,10.29,11.50,12.66,13.76,14.89,15.90,16.85,17.78,18.68,19.60,20.40,21.25,22.07,22.84,23.59,24.34,25.02,25.73,26.36,26.99,27.66,28.24,28.85,29.43,30.00,30.52,31.09,31.64,32.20,32.68,33.16,33.61,34.15,34.58,35.01,35.49,35.91,36.37,36.76,37.19,37.57,38.03,38.45,38.84,39.27,39.60,39.99,40.27,40.69,41.07,41.38,41.75,42.07,42.42,42.78,43.07,43.36,43.73,44.07,44.33,44.63,44.95,45.27,45.55,45.83,46.09,46.37,46.68,46.97,47.24,47.47,47.75,48.06,48.28,48.52,48.84,49.01,49.31,49.62,49.82,50.07,50.27,50.48,50.76,51.03,51.23,51.49,51.69,51.93,52.14,52.39,52.58,52.75,52.97,53.20,53.44,53.64,53.79,54.05,54.28,54.48,54.66,54.80,54.99,55.21,55.38,55.57,55.79,55.99,56.18,56.33,56.56,56.74,56.90,57.13,57.28,57.48,57.60,57.81,57.98,58.11,58.30,58.49,58.69,58.84,59.03,59.15,59.29,59.58,59.65,59.81,60.02,60.12,60.32,60.46,60.60,60.74,60.88,61.04,61.20,61.35,61.54,61.68,61.80,61.93,62.14,62.25,62.42,62.55,62.72,62.82,62.93,63.09,63.24,63.43,63.50,63.61,63.77,63.97,64.03,64.20,64.37,64.44,64.55,64.71,64.83,64.94,65.09,65.30,65.34,65.48,65.64,65.71,65.83,65.96,66.11,66.20,66.31,66.46,66.60,66.70,66.86,66.92,67.07,67.20,67.27,67.43,67.59,67.66,67.77
